"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2008","2009","2010","2011","2012","2013"
"00000","United States","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",12421207863,12080223000,12215765573,12664464509,13080226733,13184554113
"00000","United States","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",40847,39379,39492,40646,41674,41706
"00999","United States (Nonmetropolitan Portion)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",1700213985,1673707478,1680327520,1744637265,1782089643,1799262812
"00999","United States (Nonmetropolitan Portion)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",36883,36229,36292,37687,38536,38930
"10180","Abilene, TX (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",6452809,6116349,6213367,6494986,6791146,6907372
"10180","Abilene, TX (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",39708,37320,37514,38992,40563,41238
"10420","Akron, OH (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",30279919,29824018,29891039,30719607,31564477,31698176
"10420","Akron, OH (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",43054,42402,42370,43548,44775,44918
"10500","Albany, GA (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",5743967,5690117,5665097,5922213,5894427,5899161
"10500","Albany, GA (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",36458,36020,35980,37580,37501,37889
"10540","Albany, OR (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",3518392,3526780,3533475,3631668,3727607,3737830
"10540","Albany, OR (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",30603,30403,30230,30730,31481,31472
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",37764558,38511703,39589635,39959927,40929669,41200541
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",43594,44299,45458,45781,46768,46931
"10740","Albuquerque, NM (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",31503886,30990690,30937704,31552479,31989365,31550886
"10740","Albuquerque, NM (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",36489,35359,34776,35181,35525,34948
"10780","Alexandria, LA (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",6371374,6438603,6327864,6213743,6370823,6303010
"10780","Alexandria, LA (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",41795,42037,41063,40248,41280,40729
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",32195429,31829666,32197797,33011333,33791510,33872417
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",39550,38922,39173,40015,40865,40956
"11020","Altoona, PA (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",4697416,4765942,4790504,4890560,4931892,5001962
"11020","Altoona, PA (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",36955,37480,37715,38448,38833,39599
"11100","Amarillo, TX (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",9426233,9182044,9586503,9997137,10326921,10373531
"11100","Amarillo, TX (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",38247,36821,37938,39070,40095,40177
"11180","Ames, IA (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",4413156,4032958,4021227,4131946,4027934,3991379
"11180","Ames, IA (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",50246,45169,44882,45489,43959,43194
"11260","Anchorage, AK (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",15911768,15854951,16547687,17332971,17737290,17684222
"11260","Anchorage, AK (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",43518,42329,43189,44696,45232,44641
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",13542577,12853399,13288947,13625610,14155214,14214201
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",39645,37417,38492,39081,40311,40126
"11500","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",4386743,4443609,4460289,4421788,4266670,4164848
"11500","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",37406,37542,37656,37546,36389,35677
"11540","Appleton, WI (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",9168575,9225313,9141383,9449745,9655655,9748704
"11540","Appleton, WI (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",41225,41069,40477,41551,42231,42393
"11700","Asheville, NC (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",15549186,15429192,15322343,15632016,16460858,16437218
"11700","Asheville, NC (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",37247,36561,36011,36480,38085,37557
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",6312251,6298996,6336125,6573874,6736211,6804881
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",33231,32804,32756,33779,34296,34385
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",208923045,202255880,203054294,215284794,220709362,223996283
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",40410,38592,38282,40064,40464,40557
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",9951252,9935734,10021044,10260071,10267980,10163177
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",36450,36255,36476,37337,37289,36842
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","","RPI1","1","...","Real personal income (thousands of chained (2009) dollars)",4597611,4524605,4623987,4756761,4873219,4996248
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","","RPI1","2","...","Real per capita personal income (chained (2009) dollars) 2/",34177,32653,32829,33063,32970,33102
