Year,CBSA,CBSA Name,Race,Indicator,Value,SE
2000-2014,10180,"Abilene, TX",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",10.05364418,2.792166233
2009-2014,10180,"Abilene, TX",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",2.975323677,4.290231705
2013-2014,10180,"Abilene, TX",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",1.695296168,1.644093871
2000-2014,10180,"Abilene, TX",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",0.977353692,1.127617717
2009-2014,10180,"Abilene, TX",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",-0.19094035,0.459341466
2013-2014,10180,"Abilene, TX",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",0.055284005,0.904484868
2000-2014,10180,"Abilene, TX",All races,"Median Income, Percent Change in Mean Absolute Difference",1.243554354,0.760300398
2009-2014,10180,"Abilene, TX",All races,"Median Income, Percent Change in Mean Absolute Difference",0.481046796,0.743076384
2013-2014,10180,"Abilene, TX",All races,"Median Income, Percent Change in Mean Absolute Difference",2.112236023,1.444068789
2000-2014,10420,"Akron, OH",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",1.664321899,0.672101438
2009-2014,10420,"Akron, OH",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",-0.070142291,0.339567333
2013-2014,10420,"Akron, OH",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",-0.147862583,0.279437572
2000-2014,10420,"Akron, OH",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",0.8620013,0.363732696
2009-2014,10420,"Akron, OH",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",-0.044165861,0.444021761
2013-2014,10420,"Akron, OH",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",0.696870565,0.723094225
2000-2014,10420,"Akron, OH",All races,"Median Income, Percent Change in Mean Absolute Difference",0.311932087,0.231274903
2009-2014,10420,"Akron, OH",All races,"Median Income, Percent Change in Mean Absolute Difference",-0.223209113,0.232512832
2013-2014,10420,"Akron, OH",All races,"Median Income, Percent Change in Mean Absolute Difference",-0.342129081,0.175657198
2000-2014,10500,"Albany, GA",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",0.754881382,0.390433908
2009-2014,10500,"Albany, GA",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",0.245843932,0.472659022
2013-2014,10500,"Albany, GA",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",0.403003395,0.571909606
2000-2014,10500,"Albany, GA",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",0.071021952,0.666434526
2009-2014,10500,"Albany, GA",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",-0.331103325,0.639471471
2013-2014,10500,"Albany, GA",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",-0.463052511,0.328861088
2000-2014,10500,"Albany, GA",All races,"Median Income, Percent Change in Mean Absolute Difference",1.837812662,1.221587777
2009-2014,10500,"Albany, GA",All races,"Median Income, Percent Change in Mean Absolute Difference",1.344399333,1.200383186
2013-2014,10500,"Albany, GA",All races,"Median Income, Percent Change in Mean Absolute Difference",-0.288022101,0.450511217
2000-2014,10540,"Albany, OR",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",1.264576554,0.464995503
2009-2014,10540,"Albany, OR",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",1.472556353,1.584262609
2013-2014,10540,"Albany, OR",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",-0.051299226,0.479514569
2000-2014,10540,"Albany, OR",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",0.343899041,0.888104975
2009-2014,10540,"Albany, OR",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",-0.370629549,0.424491107
2013-2014,10540,"Albany, OR",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",-0.338071436,0.573975444
2000-2014,10540,"Albany, OR",All races,"Median Income, Percent Change in Mean Absolute Difference",2.091747046,1.25759995
2009-2014,10540,"Albany, OR",All races,"Median Income, Percent Change in Mean Absolute Difference",2.480534554,1.727619886
2013-2014,10540,"Albany, OR",All races,"Median Income, Percent Change in Mean Absolute Difference",1.431474566,1.133784056
2000-2014,10580,"Albany-Schenectady-Troy, NY",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",0.053240549,0.401489079
2009-2014,10580,"Albany-Schenectady-Troy, NY",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",-0.396728277,0.289580613
2013-2014,10580,"Albany-Schenectady-Troy, NY",All races,"Relative Income Poverty, Percent Change in Mean Absolute Difference",-0.385486096,0.262930542
2000-2014,10580,"Albany-Schenectady-Troy, NY",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",0.269549668,0.308865875
2009-2014,10580,"Albany-Schenectady-Troy, NY",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",0.141475841,0.360604107
2013-2014,10580,"Albany-Schenectady-Troy, NY",All races,"Employment Ratio, Percent Change in Mean Absolute Difference",0.108068883,0.374581486
