Year,CBSA,CBSA Name,Race,Indicator,Value,SE
2000-2014,10180,"Abilene, TX",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",0.845726311,1.239184856
2009-2014,10180,"Abilene, TX",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",2.049637794,114.1575851
2013-2014,10180,"Abilene, TX",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",1.497445822,31.81900597
2000-2014,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",-0.698252201,0.381171823
2009-2014,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",-0.317883611,3.738933563
2013-2014,10180,"Abilene, TX",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",-0.343428403,4.011068344
2000-2014,10180,"Abilene, TX",Whites and People of Color,"Median Income, Percent Change in Absolute Difference",0.070964932,0.548081458
2009-2014,10180,"Abilene, TX",Whites and People of Color,"Median Income, Percent Change in Absolute Difference",0.618314624,1.316130996
2013-2014,10180,"Abilene, TX",Whites and People of Color,"Median Income, Percent Change in Absolute Difference",0.726911783,1.15968883
2000-2014,10420,"Akron, OH",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",1.00370717,0.514098644
2009-2014,10420,"Akron, OH",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",1.493513107,1.882170439
2013-2014,10420,"Akron, OH",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",0.112520859,0.43045792
2000-2014,10420,"Akron, OH",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",0.117457785,0.177498877
2009-2014,10420,"Akron, OH",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",0.458456963,0.453622669
2013-2014,10420,"Akron, OH",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",0.915836394,0.685124516
2000-2014,10420,"Akron, OH",Whites and People of Color,"Median Income, Percent Change in Absolute Difference",0.649286032,0.281330407
2009-2014,10420,"Akron, OH",Whites and People of Color,"Median Income, Percent Change in Absolute Difference",0.66758424,0.401122034
2013-2014,10420,"Akron, OH",Whites and People of Color,"Median Income, Percent Change in Absolute Difference",0.206096902,0.280871451
2000-2014,10500,"Albany, GA",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",0.015770519,0.378368258
2009-2014,10500,"Albany, GA",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",0.152780384,0.607990563
2013-2014,10500,"Albany, GA",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",-0.014378639,0.603060961
2000-2014,10500,"Albany, GA",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",-0.725879073,0.218246117
2009-2014,10500,"Albany, GA",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",0.427920043,17.02035332
2013-2014,10500,"Albany, GA",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",-0.478193015,0.450594515
2000-2014,10500,"Albany, GA",Whites and People of Color,"Median Income, Percent Change in Absolute Difference",0.206977591,0.233056545
2009-2014,10500,"Albany, GA",Whites and People of Color,"Median Income, Percent Change in Absolute Difference",0.220368192,0.360144526
2013-2014,10500,"Albany, GA",Whites and People of Color,"Median Income, Percent Change in Absolute Difference",0.066281155,0.334688544
2000-2014,10540,"Albany, OR",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",0.054843552,0.639491141
2009-2014,10540,"Albany, OR",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",0.219373107,1.95508492
2013-2014,10540,"Albany, OR",Whites and People of Color,"Relative Income Poverty, Percent Change in Absolute Difference",0.073773637,0.938304126
2000-2014,10540,"Albany, OR",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",-0.634872198,0.29128933
2009-2014,10540,"Albany, OR",Whites and People of Color,"Employment Ratio, Percent Change in Absolute Difference",-0.062255077,44.64127731
