Year,CBSA,CBSA_Name,Race,Indicator,Value,SE,Sig
1999-2014,10420,"Akron, OH",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.1130199432,0.0600182079,*
1999-2014,10420,"Akron, OH",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0733104348,0.0326669514,*
1999-2014,10420,"Akron, OH",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.1342951059,0.0510137603,*
1999-2014,10420,"Akron, OH",Other,Percentage Point Change in Employment-to-Population Ratio,0.0783387423,0.0855200142,
1999-2014,10420,"Akron, OH",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0441690683,0.0241294596,*
1999-2014,10420,"Akron, OH",Total,Percentage Point Change in Employment-to-Population Ratio,-0.036908865,0.0082464945,*
1999-2014,10420,"Akron, OH",White,Percentage Point Change in Employment-to-Population Ratio,-0.0272697806,0.0085830521,*
1999-2014,10580,"Albany-Schenectady-Troy, NY",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0642866492,0.0541678891,
1999-2014,10580,"Albany-Schenectady-Troy, NY",Black,Percentage Point Change in Employment-to-Population Ratio,0.0225995183,0.0296446979,
1999-2014,10580,"Albany-Schenectady-Troy, NY",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0628428459,0.0416154489,
1999-2014,10580,"Albany-Schenectady-Troy, NY",Other,Percentage Point Change in Employment-to-Population Ratio,0.0685420632,0.0536793023,
1999-2014,10580,"Albany-Schenectady-Troy, NY",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0193017125,0.0206899419,
1999-2014,10580,"Albany-Schenectady-Troy, NY",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0143918395,0.0080563221,*
1999-2014,10580,"Albany-Schenectady-Troy, NY",White,Percentage Point Change in Employment-to-Population Ratio,-0.0095136762,0.0085828984,
1999-2014,10740,"Albuquerque, NM",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0234729648,0.0582757555,
1999-2014,10740,"Albuquerque, NM",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0685090423,0.0518984273,
1999-2014,10740,"Albuquerque, NM",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.015504241,0.0128634693,
1999-2014,10740,"Albuquerque, NM",Other,Percentage Point Change in Employment-to-Population Ratio,0.0675454736,0.0273828283,*
1999-2014,10740,"Albuquerque, NM",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0070531368,0.0108415168,
1999-2014,10740,"Albuquerque, NM",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0413439274,0.0082282647,*
1999-2014,10740,"Albuquerque, NM",White,Percentage Point Change in Employment-to-Population Ratio,-0.0685651898,0.0138249723,*
1999-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0029795766,0.0510980673,
1999-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Black,Percentage Point Change in Employment-to-Population Ratio,0.0813163519,0.0506239273,
1999-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0363329053,0.0264856424,
1999-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Other,Percentage Point Change in Employment-to-Population Ratio,-0.180542171,0.0943952352,*
1999-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0239633918,0.0212576371,
1999-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0097937584,0.0077484562,
1999-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",White,Percentage Point Change in Employment-to-Population Ratio,0.0030994415,0.0073727798,
1999-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0268773437,0.0118073672,*
1999-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0307546258,0.006327963,*
1999-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0547786355,0.0107963542,*
