year,CBSA,CBSA_name,indicator,value,rank
2004-2014,10180,Abilene; TX Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.1456771866,
2004-2014,10420,Akron; OH Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.025576947,79
2004-2014,10500,Albany; GA Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.0000109615,
2004-2014,10540,Albany; OR Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.0282023447,
2004-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.0653216332,39
2004-2014,10740,Albuquerque; NM Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.0308744519,72
2004-2014,10780,Alexandria; LA Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.078028606,
2004-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical,Percent Change in Average Annual Wage,0.0476726722,51
2004-2014,11020,Altoona; PA Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.0636843897,
2004-2014,11100,Amarillo; TX Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.1311143974,
2004-2014,11180,Ames; IA Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.0728875963,
2004-2014,11260,Anchorage; AK Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.099989112,
2004-2014,11460,Ann Arbor; MI Metropolitan Statistical Area,Percent Change in Average Annual Wage,-0.056223404,
2004-2014,11500,Anniston-Oxford-Jacksonville; AL Metropolitan Statistical,Percent Change in Average Annual Wage,-0.006728276,
2004-2014,11540,Appleton; WI Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.0195206906,
2004-2014,11700,Asheville; NC Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.0131431181,
2004-2014,12020,Athens-Clarke County; GA Metropolitan Statistical Area,Percent Change in Average Annual Wage,0.0263077367,
2004-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical,Percent Change in Average Annual Wage,0.0214621938,81
