year,CBSA,CBSA_name,indicator,value
2000,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,34.12476587
2001,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,34.5327034
2002,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,35.484658725
2003,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,35.788454782
2004,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,36.604078276
2005,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,36.278633917
2006,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,37.03270182
2007,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,38.680428677
2008,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,38.773128843
2009,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,38.901377051
2010,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,38.805644538
2011,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,39.188595201
2012,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,40.414367203
2013,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,40.623390853
2014,10180,Abilene; TX Metropolitan Statistical Area,Average Annual Wage,41.936457419
2000,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,43.003215688
2001,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,43.021497775
2002,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,44.449442373
2003,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,44.724880005
2004,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,45.48290742
2005,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,45.135707579
2006,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,45.237153447
2007,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,45.734590362
2008,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,45.445036315
2009,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,45.473333557
2010,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,45.80145609
2011,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,45.862322252
2012,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,46.312137436
2013,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,45.980548519
2014,10420,Akron; OH Metropolitan Statistical Area,Average Annual Wage,46.646221334
2000,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,37.584360107
2001,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,38.536079307
2002,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,38.996934569
2003,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,38.93184979
2004,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,39.317726361
2005,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,39.350897191
2006,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,38.920029953
2007,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,39.193159829
2008,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,39.086433079
2009,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,40.012153509
2010,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,40.037587289
2011,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,39.537315304
2012,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,39.773955491
2013,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,39.37096542
2014,10500,Albany; GA Metropolitan Statistical Area,Average Annual Wage,39.31815734
2000,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,36.378654831
2001,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,36.679415584
2002,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,37.28355455
2003,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,37.321664008
2004,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,37.624784677
2005,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,37.879874481
2006,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,38.90455223
2007,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,39.509361716
2008,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,39.079275112
2009,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,38.540152232
2010,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,38.07755593
2011,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,38.207967839
2012,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,38.582564952
2013,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,38.454570982
2014,10540,Albany; OR Metropolitan Statistical Area,Average Annual Wage,38.685891823
2000,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Average Annual Wage,45.530333535
2001,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Average Annual Wage,46.637036024
2002,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Average Annual Wage,46.748442046
2003,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Average Annual Wage,47.535914178
2004,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Average Annual Wage,47.470394161
2005,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Average Annual Wage,46.9884876
